club_id,club_name,stadium_name,country,league_id,lat,lon,geo_query,dist_km,flag
15,Leverkusen,BayArena,Germany,L1,51.0381439,7.0030964000000004,"BayArena, Leverkusen, Germany",1.2223657938989902,FALSE
39,Mainz,Mewa Arena,Germany,L1,49.9839451,8.2244738,"Mewa Arena, Mainz, Germany",3.9173383760423857,FALSE
127,SC Paderborn,Home Deluxe Arena,Germany,L1,51.730548,8.7778633,"SC Paderborn, Germany",0,FALSE
35,St. Pauli,Millerntor-Stadion,Germany,L1,53.5545566,9.9677842,"Millerntor-Stadion, St. Pauli, Germany",0.5560611808079859,FALSE
79,Stuttgart,MHPArena Stuttgart,Germany,L1,48.7922488,9.2320857,"MHPArena Stuttgart, Stuttgart, Germany",4.1121058859415305,FALSE
89,Union Berlin,Stadion An der Alten Försterei,Germany,L1,52.5062782,13.1881814,"Union Berlin, Germany",0,FALSE
80,VfL Bochum,Vonovia Ruhrstadion,Germany,L1,51.4907434,7.2362613,"VfL Bochum, Germany",0,FALSE
86,Werder Bremen,Weserstadion,Germany,L1,53.0672031,8.8335658,"Weserstadion, Werder Bremen, Germany",0.7329664471451317,FALSE
82,Wolfsburg,Volkswagen Arena,Germany,L1,52.4326524,10.8038151,"Volkswagen Arena, Wolfsburg, Germany",1.8000096895524946,FALSE
5,AC Milan,Giuseppe Meazza,Italy,IT1,45.5099841,8.9490252,"Giuseppe Meazza, AC Milan, Italy",13.83181998427408,FALSE
800,Atalanta BC,New Balance Arena - Bergamo,Italy,IT1,43.0884778,12.4326811,"Atalanta BC, Italy",0,FALSE
4171,Benevento,Ciro Vigorito,Italy,IT1,41.1165886,14.7810763,"Ciro Vigorito, Benevento, Italy",15.877853250973926,FALSE
1025,Bologna,Stadio Renato Dall’Ara,Italy,IT1,44.492317,11.3099971,"Stadio Renato Dall’Ara, Bologna, Italy",2.5940230929034405,FALSE
19,Brescia,Mario Rigamonti,Italy,IT1,45.5707175,10.2369776,"Mario Rigamonti, Brescia, Italy",27.4730204457931,FALSE
1390,Cagliari,Unipol Domus,Italy,IT1,39.1991949,9.1374283,"Unipol Domus, Cagliari, Italy",2.8854611501664573,FALSE
4102,Carpi,Sandro Cabassi,Italy,IT1,44.7755583,10.8818917,"Sandro Cabassi, Carpi, Italy",0.9341263765767016,FALSE
1429,Cesena,Orogel Stadium - Dino Manuzzi,Italy,IT1,44.1403668,12.261877,"Orogel Stadium - Dino Manuzzi, Cesena, Italy",1.6290633238515178,FALSE
862,Chievo Verona,Marcantonio Bentegodi,Italy,IT1,45.4575984,10.9464024,"Chievo Verona, Italy",0,FALSE
1047,Como,Giuseppe Sinigaglia,Italy,IT1,45.8138295,9.0723243,"Giuseppe Sinigaglia, Como, Italy",15.19234371586938,FALSE
2239,Cremonese,Giovanni Zini,Italy,IT1,45.1683868,9.8900934,"Cremonese, Italy",0,FALSE
4083,Crotone,Ezio Scida,Italy,IT1,39.0792582,17.1162792,"Ezio Scida, Crotone, Italy",23.789742846202653,FALSE
749,FC Empoli,Carlo Castellani,Italy,IT1,43.7245281,10.9583595,"Carlo Castellani, FC Empoli, Italy",1.1505238294925213,FALSE
430,Fiorentina,Artemio Franchi,Italy,IT1,42.9637778,10.5348607,"Fiorentina, Italy",0,FALSE
8970,Frosinone,Benito Stirpe,Italy,IT1,41.6340108,13.3217978,"Benito Stirpe, Frosinone, Italy",21.12325756978752,FALSE
252,Genoa,Luigi Ferraris,Italy,IT1,44.4164753,8.9525341,"Luigi Ferraris, Genoa, Italy",1.802648955490782,FALSE
276,Hellas Verona,Marcantonio Bentegodi,Italy,IT1,45.4334792,10.8928406,"Hellas Verona, Italy",0,FALSE
46,Inter,Giuseppe Meazza,Italy,IT1,42.7296354,12.729909899999999,"Inter, Italy",0,FALSE
506,Juventus,Allianz Stadium,Italy,IT1,44.9779934,7.6151806,"Juventus, Italy",0,FALSE
398,Lazio,Olimpico di Roma,Italy,IT1,41.9379589,12.450577,"Olimpico di Roma, Lazio, Italy",26.56513183393867,FALSE
1005,Lecce,Ettore Giardiniero,Italy,IT1,40.3651144,18.2089177,"Ettore Giardiniero, Lecce, Italy",23.717741317805825,FALSE
1210,Livorno,Armando Picchi,Italy,IT1,43.5436,10.3203,reczna korekta,0,FALSE
2919,Monza,Brianteo,Italy,IT1,45.583112,9.3079276,"Brianteo, Monza, Italy",6.670410202719955,FALSE
6195,Napoli,Diego Armando Maradona,Italy,IT1,40.827969,14.1917953,"Diego Armando Maradona, Napoli, Italy",4.873446152109941,FALSE
458,Palermo,"Comunale Renzo Barbera ""La Favorita""",Italy,IT1,38.1112268,13.3524434,"Palermo, Italy",0,FALSE
130,Parma,Ennio Tardini,Italy,IT1,44.7947582,10.3383727,"Ennio Tardini, Parma, Italy",21.976553650443982,FALSE
2921,Pescara,Adriatico,Italy,IT1,42.4553029,14.2296959,"Adriatico, Pescara, Italy",27.560871420101503,FALSE
4172,Pisa,Cetilar® Arena,Italy,IT1,43.7252802,10.4001188,"Cetilar® Arena, Pisa, Italy",36.10654996033522,FALSE
12,Roma,Olimpico di Roma,Italy,IT1,41.9379589,12.450577,"Olimpico di Roma, Roma, Italy",5.63954135739911,FALSE
2722,SPAL,Paolo Mazza,Italy,IT1,44.7652315,10.8075192,"SPAL, Italy",0,FALSE
380,Salernitana,Arechi,Italy,IT1,40.6790461,14.7600051,"Salernitana, Italy",0,FALSE
1038,Sampdoria,Luigi Ferraris,Italy,IT1,44.4155493,8.9526677,"Sampdoria, Italy",0,FALSE
6574,Sassuolo,Mapei Stadium - Città del Tricolore,Italy,IT1,44.5409769,10.7829023,"Sassuolo, Italy",0,FALSE
1387,Siena,Artemio Franchi,Italy,IT1,43.3216868,11.326179,"Artemio Franchi, Siena, Italy",20.64480983735633,FALSE
3522,Spezia Calcio,Alberto Picco,Italy,IT1,44.1011256,9.8079967,"Spezia Calcio, Italy",0,FALSE
416,Torino,Olimpico Grande Torino,Italy,IT1,45.0417211,7.6523627,"Olimpico Grande Torino, Torino, Italy",3.739035898791468,FALSE
410,Udinese,Bluenergy Stadium,Italy,IT1,46.4097027,13.1951425,"Udinese, Italy",0,FALSE
607,Venezia,Pier Luigi Penzo,Italy,IT1,45.4296908,12.3556755,"Pier Luigi Penzo, Venezia, Italy",4.493723307940958,FALSE
238,Lech Poznan,Enea Poznań,Poland,PL1,52.3970048,16.8588798,"Lech Poznan, Poland",0,FALSE
4000,Lechia Gdansk,Polsat Plus Arena Gdańsk,Poland,PL1,54.3906621,18.6396096,"Lechia Gdansk, Poland",0,FALSE
255,Legia Warszawa,Stadion Miejski im. Marszałka Józefa Piłsudskiego,Poland,PL1,52.2213093,21.0417691,"Legia Warszawa, Poland",0,FALSE
6112,Piast Gliwice,Stadion Miejski - Gliwice,Poland,PL1,50.2888459,18.6894881,"Piast Gliwice, Poland",0,FALSE
7154,Radomiak,Stadion im. Braci Czachorów,Poland,PL1,51.4097973,21.1723041,"Radomiak, Poland",0,FALSE
1108,Alavés,Mendizorroza,Spain,ES1,42.3927003,-0.3732675,"Alavés, Spain",0,FALSE
621,Athletic,San Mamés,Spain,ES1,43.2625346,-2.9466836,"Athletic, Spain",0,FALSE
13,Atlético,Riyadh Air Metropolitano,Spain,ES1,40.4018734,-3.7204204,"Atlético, Spain",0,FALSE
