club_id,lat,lon,geo_query,lat_check,lon_check,dist_km,flag
603,51.9896896,-2.1357384,"Cardiff, England",51.9896896,-2.1357384,0,FALSE
873,51.4193664,-0.0711328,"Crystal Palace, England",51.4193664,-0.0711328,0,FALSE
29,52.1462041,-0.2430129,"Everton, England",52.1462041,-0.2430129,0,FALSE
281,53.4831,-2.2004,reczna korekta,53.4831,-2.2004,0,FALSE
985,53.4631,-2.2913,reczna korekta,53.4631,-2.2913,0,FALSE
703,52.94,-1.1328,reczna korekta,52.94,-1.1328,0,FALSE
1039,51.7168416,-1.9652169,"QPR, England",51.7168416,-1.9652169,0,FALSE
350,53.3703,-1.4709,reczna korekta,53.3703,-1.4709,0,FALSE
512,53.006213,-2.1777554,"Stoke City, England",53.006213,-2.1777554,0,FALSE
2288,52.9502912,-1.2716904,"Swansea, England",52.9502912,-1.2716904,0,FALSE
984,52.473606,-1.9686379,"West Brom, England",52.473606,-1.9686379,0,FALSE
1071,53.546215,-2.6319112,"Wigan, England",53.546215,-2.6319112,0,FALSE
543,51.7698528,-1.6571025,"Wolves, England",51.7698528,-1.6571025,0,FALSE
1147,41.9263991,8.7376029,"AC Ajaccio, France",41.9263991,8.7376029,0,FALSE
290,47.7865182,3.5873446,"AJ Auxerre, France",47.7865182,3.5873446,0,FALSE
1159,48.6937223,6.1834097,"AS Nancy, France",48.6937223,6.1834097,0,FALSE
1416,49.8906891,2.2682531,"Amiens SC, France",49.8906891,2.2682531,0,FALSE
1420,47.4597181,-0.5689294,"Angers SCO, France",47.4597181,-0.5689294,0,FALSE
3524,45.8032399,3.130394,"Clermont Foot, France",45.8032399,3.130394,0,FALSE
1158,47.7477336,-3.3660907,"FC Lorient, France",47.7477336,-3.3660907,0,FALSE
347,49.1119618,6.1459519,"FC Metz, France",49.1119618,6.1459519,0,FALSE
995,47.2562611,-1.526533,"FC Nantes, France",47.2562611,-1.526533,0,FALSE
750,47.4640485,6.8458842,"FC Sochaux, France",47.4640485,6.8458842,0,FALSE
